"from_country","to_country","move_year","n_moves","n_unique_movers"
"Singapore","Australia",2024,4,4
"France","Brazil",2021,4,4
"India","South Africa",2020,4,4
"Netherlands","Sweden",2016,4,4
"Pakistan","United Arab Emirates",2018,4,4
"Syria","Jordan",2024,4,4
"Denmark","France",2020,4,4
"United Arab Emirates","Jordan",2023,4,4
"United Kingdom","South Korea",2022,4,4
"Indonesia","South Korea",2022,4,4
"Austria","Italy",2024,4,4
"South Africa","United Kingdom",2022,4,4
"Costa Rica","United States",2015,4,4
"India","Czech Republic",2021,4,4
"Romania","United States",2021,4,4
"Cyprus","Germany",2022,4,4
"Costa Rica","United States",2014,4,4
"South Africa","United States",2018,4,4
"Taiwan","China",2018,4,4
"United States","Nepal",2024,4,4
"Lebanon","Germany",2022,4,4
"Lithuania","United States",2024,4,4
"China","Australia",2018,4,4
"Australia","United States",2013,4,4
"Italy","Ireland",2020,4,4
"Netherlands","Sweden",2014,4,4
"Canada","Japan",2022,4,4
"Georgia","Russia",2022,4,4
"Poland","Germany",2024,4,4
"Hungary","Germany",2020,4,4
"United Kingdom","Russia",2024,4,4
"United Kingdom","Australia",2017,4,4
"France","Brazil",2020,4,4
"United States","South Korea",2016,4,4
"France","Spain",2014,4,4
"France","Israel",2022,4,4
"United States","Austria",2022,4,4
"South Korea","Singapore",2022,4,4
"Ireland","Germany",2023,4,4
"Germany","Italy",2022,4,4
"India","Sweden",2019,4,4
"United States","Slovakia",2023,4,4
"United States","India",2011,4,4
"Iran","United Kingdom",2021,4,4
"Russia","Montenegro",2022,4,4
"Morocco","Canada",2023,4,4
"France","Hong Kong",2023,4,4
"Spain","India",2022,4,4
"Germany","Portugal",2023,4,4
"Spain","Germany",2017,4,4
"Japan","Vietnam",2021,4,4
"United States","Austria",2017,4,4
"Saint Vincent and the Grenadines","United States",2023,4,4
"Iran","Sweden",2020,4,4
"France","Sweden",2023,4,4
"Mexico","United States",2017,4,4
"Ukraine","Canada",2020,4,4
"Turkey","Netherlands",2021,4,4
"Russia","Netherlands",2024,4,4
"Canada","Australia",2021,4,4
"Spain","Portugal",2023,4,4
"Iran","Netherlands",2020,4,4
"France","Hong Kong",2018,4,4
"New Zealand","United States",2021,4,4
"South Korea","United Kingdom",2022,4,4
"Sweden","Netherlands",2014,4,4
"Singapore","United Arab Emirates",2021,4,4
"United Kingdom","Austria",2023,4,4
"Netherlands","Sweden",2023,4,4
"Greece","Netherlands",2021,4,4
"Romania","United Kingdom",2018,4,4
"United States","Colombia",2020,4,4
"United States","France",2013,4,4
"India","Hong Kong",2020,4,4
"Japan","Canada",2022,4,4
"Netherlands","Curacao",2017,4,4
"Taiwan","Singapore",2020,4,4
"Hong Kong","United States",2018,4,4
"Luxembourg","Netherlands",2016,4,4
"Sweden","France",2022,4,4
"Cameroon","United States",2021,4,4
"Belgium","Switzerland",2024,4,4
"Tunisia","United States",2022,4,4
"Sweden","Denmark",2022,4,4
"Argentina","Spain",2019,4,4
"Pakistan","South Korea",2023,4,4
"France","Morocco",2021,4,4
"New Zealand","United Kingdom",2023,4,4
"United Kingdom","Saudi Arabia",2021,4,4
"Brazil","Spain",2022,4,4
"Ireland","United States",2018,4,4
"Germany","Australia",2024,4,4
"Thailand","Myanmar",2022,4,3
"Finland","United Kingdom",2021,4,4
"United Kingdom","Belgium",2024,4,4
"Italy","Netherlands",2016,4,4
"Costa Rica","United States",2016,4,4
"France","Brazil",2024,4,4
"India","Norway",2021,4,4
"Russia","Estonia",2021,4,4
"Uruguay","United States",2021,4,4
"Netherlands","Lebanon",2015,4,4
"Peru","United States",2021,4,4
"Taiwan","China",2019,4,4
"Germany","Switzerland",2016,4,4
"Luxembourg","France",2020,4,4
"Bangladesh","United Kingdom",2024,4,4
"India","Belgium",2022,4,4
"Pakistan","United Arab Emirates",2019,4,4
"Australia","United States",2016,4,4
"United Arab Emirates","India",2018,4,4
"United Kingdom","Italy",2019,4,4
"India","United States",2012,4,4
"Tunisia","Spain",2023,4,4
"Netherlands","Canada",2016,4,4
"Denmark","United Kingdom",2023,4,4
"Belarus","Poland",2024,4,4
"Austria","United Kingdom",2023,4,4
"Romania","Netherlands",2021,4,4
"Germany","Ireland",2023,4,4
"Indonesia","South Korea",2023,4,4
"India","Poland",2021,4,4
"Nigeria","Netherlands",2015,4,4
"South Africa","Netherlands",2012,4,4
"Japan","Thailand",2020,4,4
"Netherlands","Lebanon",2014,4,4
"Australia","Japan",2019,4,4
"Germany","Austria",2018,4,4
"Italy","Netherlands",2019,4,4
"United Kingdom","Italy",2017,4,4
"Iran","Sweden",2024,4,4
"Spain","Russia",2022,4,4
"Portugal","France",2023,4,4
"Singapore","Ireland",2022,4,4
"Egypt","Canada",2023,4,4
"Spain","Netherlands",2016,4,4
"Kazakhstan","United Arab Emirates",2021,4,4
"Chile","United Kingdom",2024,4,4
"United Kingdom","Poland",2022,4,4
"United Kingdom","Ukraine",2021,4,4
"United States","Egypt",2020,4,4
"China","Sweden",2023,4,4
"Singapore","Egypt",2023,4,4
"Netherlands","Nigeria",2012,4,4
"Singapore","Indonesia",2022,4,4
"India","Nepal",2022,4,4
"Portugal","Netherlands",2023,4,4
"Germany","Belgium",2019,4,4
"United Arab Emirates","Austria",2023,4,4
"United States","Germany",2013,4,4
"Denmark","Poland",2024,4,4
"Spain","Switzerland",2019,4,4
"United Kingdom","United Arab Emirates",2021,4,4
"Pakistan","Spain",2024,4,4
"United States","Armenia",2022,4,4
"Costa Rica","United States",2022,4,4
"Brazil","United Kingdom",2020,4,4
"Netherlands","Ireland",2023,4,4
"Belgium","Germany",2014,4,4
"Spain","Sweden",2021,4,4
"Mexico","Spain",2024,4,4
"United Kingdom","Israel",2020,4,4
"South Africa","United States",2022,4,4
"United States","Puerto Rico",2023,4,4
"Netherlands","Luxembourg",2024,4,4
"United States","Georgia",2024,4,4
"United States","Portugal",2017,4,4
"France","Canada",2011,4,4
"Russia","Austria",2021,4,4
"Canada","Switzerland",2023,4,4
"Israel","Singapore",2019,4,4
"Spain","Portugal",2022,4,4
"United Arab Emirates","United Kingdom",2019,4,4
"Switzerland","France",2018,4,4
"France","Canada",2013,4,4
"United States","Nigeria",2020,4,4
"Netherlands","Denmark",2019,4,4
"United States","Austria",2018,4,4
"United Kingdom","Norway",2021,4,4
"Canada","France",2015,4,4
"Jordan","Saudi Arabia",2024,4,4
"Netherlands","Singapore",2019,4,4
"United States","United Kingdom",2010,4,4
"Tunisia","United Kingdom",2024,4,4
"Lebanon","United States",2024,4,4
"Lebanon","Germany",2023,4,4
"United Kingdom","Malaysia",2020,4,4
"Russia","France",2024,4,4
"Turkey","Netherlands",2024,4,4
"Germany","Australia",2021,4,4
"Singapore","United Arab Emirates",2024,4,4
"Canada","Netherlands",2020,4,4
"Netherlands","Italy",2020,4,4
"Malaysia","Germany",2024,4,4
"Israel","Netherlands",2024,4,4
"Taiwan","United Kingdom",2023,4,4
"Turkey","Sweden",2022,4,4
"Singapore","Australia",2020,4,4
"South Korea","Germany",2023,4,4
"United States","Finland",2019,4,4
"Iran","United Kingdom",2024,4,4
"Poland","Belarus",2023,4,4
"United States","Finland",2022,4,4
"Switzerland","Netherlands",2021,4,4
"Australia","Singapore",2023,4,4
"South Korea","Canada",2021,4,4
"Germany","Japan",2023,4,4
"United States","Germany",2007,4,4
"Italy","Denmark",2023,4,4
"Australia","United States",2014,4,4
"South Korea","Singapore",2023,4,4
"India","Indonesia",2023,4,4
"Turkey","United States",2018,4,4
"Netherlands","France",2014,4,4
"Russia","Montenegro",2023,4,4
"Pakistan","China",2024,4,4
"Armenia","Russia",2021,4,4
"Netherlands","Spain",2012,4,4
"Austria","Germany",2021,4,4
"France","Belgium",2017,4,4
"Brazil","Canada",2023,4,4
"Netherlands","India",2012,4,4
"New Zealand","United States",2024,4,4
"Australia","India",2019,4,4
"Canada","South Korea",2024,4,4
"Japan","France",2017,4,4
"Romania","United Arab Emirates",2021,4,4
"Pakistan","Cyprus",2022,4,4
"Germany","Israel",2023,4,4
"Russia","Switzerland",2020,4,4
"United States","Jordan",2023,4,4
"France","Japan",2021,4,4
"Netherlands","Luxembourg",2022,4,4
"Germany","Pakistan",2023,4,4
"Germany","Armenia",2020,4,4
"Canada","Spain",2022,4,4
"United Kingdom","South Africa",2024,4,4
"South Korea","Netherlands",2017,4,3
"United Kingdom","Turkey",2021,4,4
"United Arab Emirates","Netherlands",2024,4,4
"United States","South Africa",2018,4,4
"Poland","Ukraine",2023,4,4
"Singapore","Canada",2024,4,4
"Colombia","Mexico",2024,4,4
"Brazil","United States",2016,4,4
"United States","Taiwan",2017,4,4
"Ireland","Italy",2023,4,4
"United Arab Emirates","France",2020,4,4
"Mexico","Peru",2024,4,4
"Spain","Italy",2021,4,4
"Macao","United States",2020,4,4
"Vietnam","Singapore",2019,4,4
"Netherlands","Luxembourg",2019,4,4
"France","Israel",2020,4,4
"Chile","United States",2022,4,4
"Belgium","United States",2014,4,4
"United States","Denmark",2017,4,4
"South Korea","India",2021,4,4
"India","South Korea",2023,4,4
"Canada","Singapore",2020,4,4
"Egypt","Germany",2020,4,4
"Belarus","United States",2022,4,4
"Hong Kong","United Kingdom",2021,4,4
"United Kingdom","Canada",2017,4,4
"Italy","France",2024,4,4
"Russia","France",2018,4,4
"Italy","Belgium",2022,4,4
"United States","Ghana",2024,4,4
"United States","Finland",2021,4,4
"France","Singapore",2023,4,4
"Romania","United States",2017,4,4
"Portugal","Germany",2023,4,4
"Ethiopia","United States",2021,4,4
"Finland","India",2021,4,4
"Netherlands","United Kingdom",2010,4,4
"Russia","Portugal",2022,4,4
"Austria","Germany",2019,4,4
"Japan","Canada",2024,4,4
"Pakistan","United Kingdom",2019,4,4
"Germany","China",2022,4,4
"Pakistan","Germany",2018,4,4
"Germany","Portugal",2021,4,4
"Turkey","France",2023,4,4
"Japan","France",2016,4,4
"United Kingdom","Iran",2024,4,4
"Iran","Turkey",2024,4,4
"Sweden","France",2020,4,4
"India","Austria",2021,4,4
"Netherlands","India",2010,4,4
"Netherlands","United Arab Emirates",2020,4,4
"United Arab Emirates","Kazakhstan",2023,4,4
"Peru","United States",2023,4,4
"Austria","Switzerland",2022,4,4
"Italy","Spain",2020,4,4
"Finland","United Kingdom",2023,4,4
"Turkey","United Kingdom",2019,4,4
"Netherlands","Spain",2015,4,4
"Vietnam","Singapore",2022,4,4
"France","Italy",2022,4,4
"South Africa","France",2020,4,4
"Netherlands","Mexico",2019,4,4
"Russia","Israel",2021,4,4
"Indonesia","Taiwan",2024,4,4
"India","Morocco",2023,4,4
"Kazakhstan","United Arab Emirates",2023,4,4
"Singapore","China",2021,4,4
"Israel","France",2020,4,4
"France","Brazil",2022,4,4
"Belarus","Ukraine",2021,4,4
"Iran","United Arab Emirates",2022,4,4
"Netherlands","Luxembourg",2016,4,4
"Belgium","Germany",2021,4,4
"United Kingdom","Ireland",2021,4,4
"Singapore","Pakistan",2021,4,4
"Spain","Ireland",2022,4,4
"Ireland","India",2024,4,4
"Nigeria","Canada",2020,4,4
"Japan","Australia",2023,4,4
"United Kingdom","South Korea",2021,4,4
"Germany","Poland",2019,4,4
"Netherlands","Canada",2020,4,4
"Vietnam","United Kingdom",2021,4,4
"India","Jordan",2024,4,4
"Malaysia","United States",2020,4,4
"United Arab Emirates","Jordan",2024,4,4
"United States","Portugal",2020,4,4
"Netherlands","United Kingdom",2007,4,4
"Australia","Canada",2024,4,4
"Colombia","United States",2017,4,4
"Germany","France",2017,4,4
"Croatia","United States",2024,4,4
"Mexico","Netherlands",2022,4,4
"Ukraine","Poland",2019,4,4
"Malaysia","United States",2024,4,4
"Finland","France",2022,4,4
"Russia","Cyprus",2024,4,4
"Sweden","Netherlands",2021,4,4
"India","Indonesia",2024,4,4
"Russia","France",2023,4,4
"Turkey","United Arab Emirates",2023,4,4
"New Zealand","Australia",2018,4,4
"Russia","Thailand",2023,4,4
"Nigeria","United Kingdom",2020,4,4
"Singapore","Germany",2017,4,4
"Bahrain","Netherlands",2020,4,4
"India","Australia",2018,4,4
"Canada","India",2018,4,4
"United Kingdom","Denmark",2024,4,4
"Malaysia","India",2022,4,4
"Belgium","Spain",2022,4,4
"United States","Iran",2021,4,4
"South Africa","Nigeria",2022,4,4
"Belgium","United States",2015,4,4
"Tunisia","United Kingdom",2023,4,4
"Lebanon","United Arab Emirates",2022,4,4
"Finland","United States",2020,4,4
"Bahrain","Netherlands",2012,4,4
"Mexico","Netherlands",2019,4,4
"United States","Hong Kong",2018,4,4
"Saudi Arabia","Egypt",2022,4,4
"Malaysia","United Kingdom",2022,4,4
"Russia","Netherlands",2017,4,4
"Australia","Iran",2022,4,4
"Portugal","United Kingdom",2020,4,4
"United States","Uruguay",2023,4,4
"United Kingdom","Belgium",2022,4,4
"Ukraine","United Kingdom",2020,4,4
"Russia","Germany",2017,4,4
"Singapore","Belgium",2020,4,4
"Denmark","India",2019,4,4
"Tunisia","United States",2024,4,4
"Italy","France",2020,4,4
"United States","Sweden",2017,4,4
"United States","Russia",2023,4,4
"Pakistan","Turkey",2021,4,4
"Italy","Sweden",2020,3,3
"Egypt","Qatar",2024,3,3
"Ghana","United States",2021,3,3
"Belgium","Switzerland",2023,3,3
"Germany","Turkey",2021,3,3
"United States","Canada",2010,3,3
"United States","Bangladesh",2021,3,3
"United States","Croatia",2022,3,3
"Greece","Netherlands",2019,3,3
"United Kingdom","Romania",2022,3,3
"United Kingdom","United States",2008,3,3
"Senegal","France",2023,3,3
"Philippines","Germany",2021,3,3
"United States","Vietnam",2021,3,3
"Indonesia","United States",2021,3,3
"United Arab Emirates","Canada",2022,3,3
"Canada","Spain",2018,3,3
"Netherlands","Indonesia",2018,3,3
"France","Portugal",2024,3,3
"Germany","United States",2011,3,3
"Armenia","Germany",2021,3,3
"United States","Costa Rica",2017,3,3
"United Kingdom","France",2013,3,3
"Germany","Pakistan",2019,3,3
"Poland","Spain",2023,3,3
"United Kingdom","Austria",2024,3,3
"Japan","Australia",2022,3,3
"Belarus","Germany",2022,3,3
"United States","Chile",2018,3,3
"United States","Poland",2016,3,3
"France","Israel",2021,3,3
"Spain","United States",2013,3,3
"United Kingdom","Ireland",2020,3,3
"Ukraine","Germany",2021,3,3
"Denmark","France",2022,3,3
"Ireland","Spain",2023,3,3
"Georgia","Russia",2021,3,3
"Belgium","United Kingdom",2024,3,3
"Netherlands","Italy",2016,3,3
"Sweden","Denmark",2021,3,3
"Portugal","Denmark",2024,3,3
"Netherlands","Mexico",2014,3,3
"Australia","France",2018,3,3
"Russia","Vietnam",2023,3,3
"Belarus","Russia",2024,3,3
"Netherlands","Greece",2023,3,3
"Netherlands","Brazil",2018,3,3
"Luxembourg","France",2018,3,3
"Netherlands","Mexico",2023,3,3
"Israel","Germany",2021,3,3
"Indonesia","Japan",2023,3,3
"Netherlands","Romania",2022,3,3
"Pakistan","South Korea",2024,3,3
"Denmark","Canada",2019,3,3
"China","Costa Rica",2017,3,3
"Germany","Russia",2019,3,3
"Ireland","Spain",2018,3,3
"Lithuania","United Kingdom",2024,3,3
"Denmark","Netherlands",2019,3,3
"Luxembourg","Belgium",2020,3,3
"Spain","Austria",2022,3,3
"Georgia","United States",2019,3,3
"Peru","Italy",2021,3,3
"Finland","India",2024,3,3
"Netherlands","United Kingdom",2005,3,3
"Finland","Canada",2022,3,3
"Italy","United Kingdom",2020,3,3
"China","Sweden",2020,3,3
"Austria","Germany",2018,3,3
"France","Sweden",2024,3,3
"Costa Rica","Mexico",2024,3,3
"Malaysia","United Kingdom",2023,3,3
"Netherlands","Lebanon",2012,3,3
"Italy","Czech Republic",2024,3,3
"Chile","France",2019,3,3
"Australia","Vietnam",2021,3,3
"Sweden","Netherlands",2024,3,3
"Switzerland","Belgium",2018,3,3
"United States","Ethiopia",2023,3,3
"Thailand","Canada",2021,3,3
"China","Switzerland",2024,3,3
"Denmark","Netherlands",2017,3,3
"Netherlands","Sweden",2024,3,3
"Cameroon","United States",2022,3,3
"Belgium","France",2019,3,3
"New Zealand","Canada",2022,3,3
"Switzerland","Turkey",2024,3,3
"Denmark","Sweden",2022,3,3
"Germany","South Korea",2018,3,3
"Serbia","Switzerland",2023,3,3
"Slovenia","United States",2023,3,3
"Singapore","United Arab Emirates",2022,3,3
"Netherlands","Mexico",2018,3,3
"Netherlands","Bahrain",2011,3,3
"Iran","Switzerland",2022,3,3
"Portugal","United Kingdom",2021,3,3
"Netherlands","Nigeria",2015,3,3
"United States","Philippines",2022,3,3
"Thailand","Japan",2022,3,3
"Luxembourg","United States",2023,3,3
"Canada","Russia",2021,3,3
"China","United Arab Emirates",2022,3,3
"Taiwan","Indonesia",2022,3,3
"Vietnam","France",2022,3,3
"Australia","Netherlands",2016,3,3
"Sri Lanka","Singapore",2017,3,3
"Saudi Arabia","Canada",2023,3,3
"United States","Costa Rica",2022,3,3
"India","Finland",2019,3,3
"Malta","Morocco",2023,3,3
"Belgium","Greece",2024,3,3
"Czech Republic","Germany",2020,3,3
"South Korea","Japan",2018,3,3
"Italy","Switzerland",2019,3,3
"Chile","United States",2018,3,3
"United Kingdom","Chile",2022,3,3
"Belgium","France",2017,3,3
"Lithuania","United States",2023,3,3
"China","France",2023,3,3
"Sri Lanka","Canada",2024,3,3
"Netherlands","United States",2005,3,3
"Finland","India",2020,3,3
"Brazil","United States",2015,3,3
"France","Ireland",2024,3,3
"India","Cameroon",2023,3,3
"Switzerland","United States",2014,3,3
"Malaysia","India",2023,3,3
"China","United States",2009,3,3
"China","Taiwan",2023,3,3
"Nicaragua","Spain",2020,3,3
"United Arab Emirates","Syria",2023,3,3
"Greece","United Kingdom",2017,3,3
"Iran","Canada",2015,3,3
"Germany","Portugal",2020,3,3
"United Kingdom","Finland",2024,3,3
"Spain","Canada",2023,3,3
"Peru","United States",2022,3,3
"Norway","United Kingdom",2018,3,3
"Singapore","Egypt",2024,3,3
"Germany","Sweden",2018,3,3
"Italy","Sweden",2024,3,3
"Switzerland","Poland",2024,3,3
"Poland","Canada",2023,3,3
"Czech Republic","United States",2019,3,3
"Germany","Tunisia",2022,3,3
"Vietnam","Singapore",2014,3,3
"United States","Iran",2020,3,3
"Australia","Netherlands",2022,3,3
"United States","Colombia",2018,3,3
"Azerbaijan","Turkey",2024,3,3
"Bangladesh","United Kingdom",2023,3,3
"Greece","United Kingdom",2022,3,3
"Germany","Sweden",2023,3,3
"United Kingdom","Malaysia",2019,3,3
"United States","Canada",2007,3,3
"China","Switzerland",2020,3,3
"Ireland","Italy",2019,3,3
"France","United Kingdom",2014,3,3
"Japan","Switzerland",2024,3,3
"Switzerland","India",2021,3,3
"Switzerland","United Kingdom",2017,3,3
"Norway","United States",2019,3,3
"Germany","Sweden",2015,3,3
"France","Mexico",2024,3,3
"Netherlands","Italy",2019,3,3
"Netherlands","Belgium",2005,3,3
"United Kingdom","Greece",2022,3,3
"Czech Republic","United States",2017,3,3
"United States","Australia",2015,3,3
"Netherlands","South Africa",2021,3,3
"Canada","India",2016,3,3
"Belgium","Denmark",2022,3,3
"United States","Czech Republic",2018,3,3
"France","United States",2013,3,3
"Belgium","Sweden",2023,3,3
